within_CMEC_delay,within_CM_delay,cross_delay
0.1926,0.3844,0.594
0.194,0.3794,0.5965
0.19,0.3822,0.5996
0.1936,0.3829,0.596
0.1944,0.3827,0.5977
0.1887,0.3847,0.6011
0.1895,0.3808,0.6038
0.1934,0.3811,0.5986
0.1901,0.387,0.6016
0.1903,0.3848,0.5993
0.1937,0.384,0.5975
0.1947,0.3859,0.5983
0.1916,0.3838,0.6036
0.1904,0.3874,0.5991
0.1888,0.3837,0.6067
0.1896,0.3855,0.6059
0.1903,0.3871,0.6045
0.1958,0.3859,0.598
0.1891,0.3888,0.6068
0.1938,0.3843,0.6045
0.1952,0.3847,0.6029
0.1945,0.3825,0.6066
0.1939,0.3885,0.6013
0.1927,0.3851,0.6059
0.1952,0.3869,0.6035
0.1932,0.3843,0.6068
0.1927,0.388,0.6067
0.1937,0.3848,0.6076
0.1948,0.3852,0.6076
0.1936,0.386,0.6091
0.1959,0.3883,0.6055
0.1946,0.386,0.6088
0.1956,0.3918,0.6074
0.1946,0.389,0.6073
0.196,0.3914,0.6042
0.1955,0.3896,0.6074
0.1951,0.3949,0.6051
0.197,0.3889,0.6071
0.195,0.3898,0.6097
0.1971,0.3895,0.6081
0.196,0.3877,0.6107
0.1938,0.3896,0.612
0.1912,0.39,0.6146
0.1971,0.3872,0.6129
0.1968,0.3893,0.6139
0.1989,0.3895,0.6109
0.1943,0.3911,0.6126
0.1931,0.3916,0.6152
0.1923,0.3935,0.6185
0.1941,0.3915,0.6152
