,CM_s2,CM_s1,CM_s3,Endothelial,Fibroblast,Unidentified
W8D2_Position001_CMEC_39,2,0,0,2,0,0
W8D2_Position001_CMEC_63,2,0,0,4,1,0
W8D2_Position001_CMEC_95,1,0,0,0,0,0
W8D2_Position001_CMEC_237,2,0,0,0,2,0
W8D2_Position001_CMEC_22,1,0,0,0,0,0
W8D2_Position001_CMEC_72,1,0,0,0,1,0
W8D2_Position001_CMEC_353,2,0,0,0,0,0
W8D2_Position002_CMEC_225,1,0,0,0,2,0
W8D2_Position002_CMEC_41,1,0,0,0,1,0
W8D2_Position002_CMEC_314,1,0,0,0,0,0
W8D2_Position002_CMEC_85,1,0,0,0,1,0
W8D2_Position006_CM_299,4,16,0,0,4,0
W8D2_Position006_CM_268,3,13,0,0,7,0
W8D2_Position006_CM_297,3,18,0,0,4,0
W8D2_Position006_CM_300,4,19,0,0,4,0
W8D2_Position006_CM_190,4,20,0,0,4,0
W8D2_Position006_CM_191,5,17,0,0,2,1
W8D2_Position006_CM_155,2,14,0,0,4,1
W8D2_Position006_CM_271,3,16,0,0,4,0
W8D2_Position006_CM_304,2,19,0,0,5,0
W8D2_Position006_CM_182,4,16,0,0,5,0
W8D2_Position006_CM_163,2,13,0,0,8,1
W8D2_Position006_CM_264,2,16,0,0,7,0
W8D2_Position006_CM_198,4,14,0,0,5,0
W8D2_Position006_CM_156,0,14,0,0,10,1
W8D2_Position006_CM_281,5,17,0,0,7,0
W8D2_Position006_CM_296,2,16,0,0,6,0
W8D2_Position006_CM_188,4,17,0,0,3,0
W8D2_Position006_CM_280,5,13,0,0,6,0
W8D2_Position006_CM_294,5,18,0,0,5,0
W8D2_Position006_CM_278,4,12,0,0,6,0
W8D2_Position006_CM_157,0,11,0,0,9,1
W8D2_Position006_CM_184,4,20,0,1,4,0
W8D2_Position006_CM_179,1,18,0,0,5,1
W8D2_Position006_CM_197,4,16,0,0,4,0
W8D2_Position006_CM_272,3,10,0,0,7,0
W8D2_Position006_CM_260,2,18,0,0,6,0
W8D2_Position006_CM_298,4,18,0,0,6,0
W8D2_Position006_CM_307,3,16,0,0,6,0
W8D2_Position006_CM_193,4,19,0,0,5,0
W8D2_Position006_CM_175,2,17,0,0,5,1
W8D2_Position006_CM_180,3,20,0,1,4,0
W8D2_Position006_CM_313,8,12,0,0,8,0
W8D2_Position006_CM_283,4,11,0,0,6,0
W8D2_Position006_CM_318,4,18,0,1,6,0
W8D2_Position006_CM_308,4,17,0,1,6,0
W8D2_Position006_CM_176,3,22,0,1,5,0
W8D2_Position006_CM_371,4,10,0,0,8,0
W8D2_Position006_CM_90,4,19,0,0,4,0
W8D2_Position006_CM_395,6,16,0,0,5,0
W8D2_Position006_CM_217,3,18,0,1,5,0
W8D2_Position006_CM_226,4,16,0,1,4,0
W8D2_Position006_CM_148,4,15,0,0,9,1
W8D2_Position006_CM_84,2,17,0,1,5,1
W8D2_Position006_CM_154,4,10,0,0,12,1
W8D2_Position006_CM_374,4,9,0,0,8,0
W8D2_Position006_CM_311,5,16,0,1,7,0
W8D2_Position006_CM_235,1,7,0,0,7,0
W8D2_Position006_CM_83,3,16,0,1,5,0
W8D2_Position006_CM_86,4,19,0,1,4,0
W8D2_Position006_CM_150,4,12,0,0,10,1
W8D2_Position006_CM_322,2,16,0,1,7,0
W8D2_Position006_CM_399,7,14,0,0,5,0
W8D2_Position006_CM_329,3,16,0,1,6,0
W8D2_Position006_CM_81,2,15,0,1,6,1
W8D2_Position006_CM_210,4,18,0,1,6,0
W8D2_Position006_CM_82,2,16,0,1,5,0
W8D2_Position006_CM_57,4,14,0,0,13,1
W8D2_Position006_CM_377,4,9,0,0,6,0
W8D2_Position006_CM_326,3,14,0,2,4,0
W8D2_Position006_CM_320,2,13,0,1,5,0
W8D2_Position006_CM_211,3,18,0,1,7,0
W8D2_Position006_CM_404,6,10,0,0,5,0
W8D2_Position006_CM_240,1,6,0,0,5,0
W8D2_Position006_CM_205,4,16,0,1,7,0
W8D2_Position006_CM_317,2,11,0,1,5,0
W8D2_Position006_CM_370,1,10,0,0,6,0
W8D2_Position006_CM_405,5,12,0,0,4,0
W8D2_Position006_CM_78,2,16,0,1,6,0
W8D2_Position006_CM_406,5,12,0,0,5,0
W8D2_Position006_CM_218,3,15,0,1,5,0
W8D2_Position006_CM_214,3,15,0,1,7,0
W8D2_Position006_CM_130,5,6,0,0,8,0
W8D2_Position006_CM_47,3,16,0,1,8,1
W8D2_Position006_CM_324,3,12,0,1,4,0
W8D2_Position006_CM_123,5,15,0,0,11,0
W8D2_Position006_CM_249,2,8,0,0,3,0
W8D2_Position006_CM_408,5,10,0,1,5,0
W8D2_Position006_CM_50,5,14,0,0,9,1
W8D2_Position006_CM_247,1,7,0,0,2,0
W8D2_Position006_CM_382,6,7,0,0,5,0
W8D2_Position006_CM_74,3,16,0,1,6,0
W8D2_Position006_CM_409,6,8,0,0,5,0
W8D2_Position006_CM_330,3,11,0,2,5,0
W8D2_Position006_CM_52,4,16,0,0,14,0
W8D2_Position006_CM_75,3,16,0,1,7,0
W8D2_Position006_CM_127,4,8,0,0,9,0
W8D2_Position006_CM_234,3,5,0,0,3,0
W8D2_Position006_CM_228,2,10,0,1,3,0
W8D2_Position006_CM_425,6,14,0,1,6,0
W8D2_Position006_CM_209,1,15,0,1,8,0
W8D2_Position006_CM_28,5,16,0,0,12,0
W8D2_Position006_CM_221,1,13,0,2,5,0
W8D2_Position006_CM_407,6,11,0,1,4,0
W8D2_Position006_CM_212,1,15,0,1,8,0
W8D2_Position006_CM_106,2,19,0,1,9,0
W8D2_Position006_CM_27,5,16,0,0,12,0
W8D2_Position006_CM_376,1,7,0,0,5,0
W8D2_Position006_CM_410,5,9,0,0,4,0
W8D2_Position006_CM_325,3,10,0,1,4,0
W8D2_Position006_CM_421,4,11,0,1,8,0
W8D2_Position006_CM_24,5,18,0,0,10,0
W8D2_Position006_CM_379,1,7,0,0,5,0
