,condition,cell_type,Unique_cell_id,niche,st_pseudotime_normalized
W8D2_Position008_CM_166,CM,CM_s1,W8D2_Position008_CM_166,Niche_2,0.691216267
W8D2_Position009_CM_319,CM,CM_s1,W8D2_Position009_CM_319,Niche_2,0.747504728
W8D2_Position015_CM_257,CM,CM_s1,W8D2_Position015_CM_257,Niche_2,0.725520047
W8D2_Position016_CM_177,CM,CM_s1,W8D2_Position016_CM_177,Niche_2,0.729732792
W11D1_Position033_CM_84,CM,CM_s1,W11D1_Position033_CM_84,Niche_1,0.636852229
W11D1_Position034_CM_45,CM,CM_s1,W11D1_Position034_CM_45,Niche_1,0.713286048
W11D1_Position035_CM_39,CM,CM_s1,W11D1_Position035_CM_39,Niche_1,0.694828764
W11D1_Position036_CM_159,CM,CM_s1,W11D1_Position036_CM_159,Niche_1,0.634841078
W11D1_Position040_CM_121,CM,CM_s1,W11D1_Position040_CM_121,Niche_1,0.701630789
W11D1_Position041_CM_42,CM,CM_s1,W11D1_Position041_CM_42,Niche_1,0.699894532
W11D1_Position044_CM_90,CM,CM_s1,W11D1_Position044_CM_90,Niche_1,0.668449099
W11D1_Position047_CM_111,CM,CM_s1,W11D1_Position047_CM_111,Niche_1,0.51958326
W8D2_Position011_CM_197,CM,CM_s2,W8D2_Position011_CM_197,Niche_2,0.753786623
W8D2_Position013_CM_163,CM,CM_s2,W8D2_Position013_CM_163,Niche_2,0.753076232
W8D2_Position017_CM_110,CM,CM_s2,W8D2_Position017_CM_110,Niche_2,0.75878504
W11D1_Position011_CMEC_30,CMEC,CM_s2,W11D1_Position011_CMEC_30,Niche_3,0.863990557
W11D1_Position013_CMEC_6,CMEC,CM_s2,W11D1_Position013_CMEC_6,Niche_3,0.757420314
W11D1_Position022_CMEC_128,CMEC,CM_s2,W11D1_Position022_CMEC_128,Niche_3,0.726156512
W11D1_Position025_CMEC_50,CMEC,CM_s2,W11D1_Position025_CMEC_50,Niche_3,0.753963555
W11D1_Position028_CMEC_121,CMEC,CM_s2,W11D1_Position028_CMEC_121,Niche_3,0.797555137
W11D1_Position001_CMEC_66,CMEC,CM_s3,W11D1_Position001_CMEC_66,Niche_3,0.571419188
W11D1_Position004_CMEC_6,CMEC,CM_s3,W11D1_Position004_CMEC_6,Niche_3,0.844724197
W11D1_Position005_CMEC_17,CMEC,CM_s3,W11D1_Position005_CMEC_17,Niche_3,0.784392552
W11D1_Position006_CMEC_42,CMEC,CM_s3,W11D1_Position006_CMEC_42,Niche_3,0.816191721
W11D1_Position007_CMEC_5,CMEC,CM_s3,W11D1_Position007_CMEC_5,Niche_3,0.882217236
W11D1_Position010_CMEC_66,CMEC,CM_s3,W11D1_Position010_CMEC_66,Niche_3,0.820706889
W11D1_Position012_CMEC_46,CMEC,CM_s3,W11D1_Position012_CMEC_46,Niche_3,0.916078419
W11D1_Position015_CMEC_39,CMEC,CM_s3,W11D1_Position015_CMEC_39,Niche_3,0.83666404
W11D1_Position017_CMEC_80,CMEC,CM_s3,W11D1_Position017_CMEC_80,Niche_3,0.851230565
W11D1_Position020_CMEC_10,CMEC,CM_s3,W11D1_Position020_CMEC_10,Niche_3,0.868702202
W11D1_Position024_CMEC_118,CMEC,CM_s3,W11D1_Position024_CMEC_118,Niche_3,0.831682158
W11D1_Position027_CMEC_44,CMEC,CM_s3,W11D1_Position027_CMEC_44,Niche_3,0.593596691
W11D1_Position029_CMEC_30,CMEC,CM_s3,W11D1_Position029_CMEC_30,Niche_3,0.764413557
W11D1_Position032_CMEC_126,CMEC,CM_s3,W11D1_Position032_CMEC_126,Niche_3,0.830178679
